station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
NEVINS STREET,0,13,24,3,0,0,0,5,21,5,1,8,6,34,0,40
NEW LOTS AVENUE,0,7,7,4,1,0,0,0,9,6,0,4,4,15,0,19
NEW UTRECHT AVENUE,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2
NEWKIRK AVENUE,2,10,6,5,0,0,0,0,13,5,1,4,4,18,1,23
NOSTRAND AVENUE,4,71,122,33,1,0,2,20,95,62,5,47,60,171,0,231
OCEAN PKWY,0,2,10,7,0,0,0,2,3,4,0,10,11,8,0,19
OFF-SYSTEM,0,0,4,0,0,0,0,0,1,2,0,1,2,2,0,4
OFF-SYSTEM,0,0,4,0,0,0,0,0,1,2,0,1,2,2,0,4
PACIFIC STREET,0,21,41,22,2,1,1,9,30,18,16,13,30,57,0,87
PARKSIDE AVENUE,0,4,1,0,0,0,0,0,2,0,1,2,1,4,0,5
PENNSYLVANIA AVENUE,0,0,1,2,0,0,0,0,2,0,0,1,2,1,0,3
PRESIDENT STREET,0,2,2,3,1,0,0,0,5,3,0,0,2,6,0,8
PROSPECT AVENUE,1,2,8,4,1,0,0,0,4,6,0,6,7,9,0,16
PROSPECT PARK,0,17,16,5,0,0,0,3,21,6,1,7,11,27,0,38
RALPH AVENUE,0,20,31,11,0,0,0,3,42,9,0,8,6,56,0,62
ROCKAWAY AVENUE,1,24,29,13,2,1,1,2,48,11,2,6,9,61,0,70
ROCKAWAY PKWY-CANARSIE,0,2,3,2,0,0,0,0,3,3,0,1,0,7,0,7
SARATOGA AVENUE,0,8,9,3,0,0,0,0,14,4,1,1,2,18,0,20
SENECA AVENUE,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
SHEEPSHEAD BAY,0,24,40,17,1,0,1,9,16,12,1,43,25,56,1,82
SHEPHERD AVENUE,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,2
SMITH-9 STREETS,0,1,2,1,0,0,0,1,1,2,0,0,1,3,0,4
STERLING STREET,0,5,16,7,0,0,1,0,17,3,1,6,9,19,0,28
STILLWELL AVENUE-CONEY ISLAND,4,98,220,114,15,0,0,17,212,128,11,83,103,348,0,451
SUTTER AVENUE,0,3,7,3,0,0,0,1,6,5,0,1,1,11,1,13
SUTTER AVENUE-RUTLAND ROAD,1,28,25,12,5,0,0,3,47,18,1,2,15,56,0,71
UNION STREET,1,9,25,6,0,0,0,4,8,17,1,11,11,29,1,41
UTICA AVE.-CROWN HEIGHTS,1,79,87,34,5,0,0,7,116,45,5,33,53,153,0,206
UTICA AVENUE,3,37,68,22,5,0,0,7,64,21,5,38,27,107,1,135
VAN SICLEN AVENUE,0,7,20,5,0,0,0,0,16,13,1,2,5,27,0,32
WEST 8 STREET-NY AQUARIUM,1,5,7,2,0,0,0,1,5,2,3,4,3,12,0,15
WILSON AVENUE,0,4,4,1,0,0,0,0,4,3,1,1,3,6,0,9
WINTHROP STREET,0,7,16,6,1,0,0,3,18,6,0,3,4,26,0,30
WYCKOFF AVENUE,0,1,1,3,0,0,0,0,0,5,0,0,2,3,0,5
YORK STREET,0,8,16,1,0,0,0,2,6,9,1,7,9,16,0,25
1 AVENUE,1,56,40,9,0,0,1,16,11,17,8,53,35,71,0,106
103 STREET,2,17,40,5,3,0,1,7,18,34,0,7,12,55,0,67
110 ST.-CATHEDRAL PKWY.,2,64,51,13,1,0,0,23,36,30,4,38,41,90,0,131
110 ST.-CENTRAL PARK NORTH,0,8,4,6,1,0,0,1,11,5,0,2,5,14,0,19
110 STREET,2,23,31,27,1,0,0,7,21,39,3,14,22,61,1,84
116 ST.-COLUMBIA UNIVERSITY,1,45,22,4,0,1,0,23,10,16,0,24,20,53,0,73
116 STREET,2,60,92,40,4,0,0,10,70,74,6,38,51,146,1,198
125 STREET,9,181,317,148,20,6,3,34,276,225,30,113,172,507,2,681
135 STREET,1,9,21,8,2,0,0,1,26,8,2,4,10,30,1,41
137 ST.-CITY COLLEGE,1,31,61,19,3,1,1,3,38,43,4,27,25,91,0,116
14 ST.-UNION SQUARE,0,12,12,4,0,0,0,5,5,11,1,6,7,21,0,28
14 STREET,24,716,717,199,36,5,3,183,366,556,72,517,509,1179,9,1697
145 STREET,5,124,213,83,11,1,0,12,164,167,8,86,111,324,2,437
148 ST.-HARLEM,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2
155 STREET,0,2,2,1,0,0,0,0,2,3,0,0,1,4,0,5
157 STREET,1,14,23,11,0,0,0,0,12,29,0,8,12,37,0,49
163 ST.-AMSTERDAM AVE.,1,22,32,17,1,0,0,2,19,27,0,25,18,55,0,73
168 ST.-WASHINGTON HTS.,4,104,182,97,13,2,1,18,95,194,20,74,105,294,3,402
175 STREET,0,8,10,7,1,0,0,0,5,12,1,8,4,22,0,26
181 STREET,0,11,9,5,0,0,0,1,7,10,0,7,6,19,0,25
190 STREET,0,2,0,1,0,0,0,1,2,0,0,0,1,2,0,3
191 STREET,0,5,6,4,1,0,0,0,6,10,0,0,0,16,0,16
2 AVENUE,2,63,51,18,7,0,1,21,21,39,7,52,42,97,2,141
