station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
WOODLAWN,0,28,35,23,1,0,0,1,33,40,2,11,7,80,0,87
ZEREGA AVENUE,0,3,1,1,0,0,0,0,2,3,0,0,0,5,0,5
15 ST.-PROSPECT PARK,0,2,3,1,0,0,0,0,0,1,0,5,3,3,0,6
18 AVENUE,0,3,5,3,0,0,0,3,1,6,0,1,3,8,0,11
20 AVENUE,0,13,29,3,0,0,0,7,0,25,4,9,9,36,0,45
25 AVENUE,0,0,3,0,0,0,0,1,0,1,0,1,0,3,0,3
25 STREET,0,0,6,3,0,1,0,0,3,6,0,1,1,9,0,10
36 STREET,0,13,27,11,0,0,0,2,10,30,0,9,8,43,0,51
4 AVENUE-9 STREET,0,23,42,13,3,0,0,8,16,28,4,25,18,62,1,81
45 STREET,0,6,5,3,0,0,0,0,3,10,0,1,1,13,0,14
50 STREET,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
53 STREET,0,7,22,13,1,0,0,3,19,18,1,2,3,40,0,43
55 STREET,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
59 STREET,1,10,12,10,0,0,0,5,5,18,1,4,2,31,0,33
62 STREET,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,2
7 AVENUE,1,9,23,11,0,0,0,2,4,20,3,15,8,36,0,44
71 STREET,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
77 STREET,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,2
79 STREET,0,1,11,7,0,0,0,3,0,10,1,5,8,11,0,19
7TH AVENUE,2,2,5,2,0,0,0,0,1,5,0,5,3,8,0,11
8 AVENUE,0,2,8,5,1,0,0,7,1,6,1,1,3,13,0,16
86 STREET,0,7,5,7,2,0,0,5,1,12,1,2,2,19,0,21
9 AVENUE,0,0,2,6,0,0,1,2,1,4,0,0,2,6,0,8
9TH STREET,1,3,2,0,0,0,0,0,0,4,0,2,2,4,0,6
ALABAMA AVENUE,0,1,7,5,0,0,0,0,7,5,0,1,2,11,0,13
ATLANTIC AVENUE,3,51,99,29,2,0,0,12,85,41,4,42,48,136,0,184
"AVENUE ""H""",0,0,2,1,0,0,0,0,2,1,0,0,0,3,0,3
"AVENUE ""I""",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"AVENUE ""J""",0,3,7,2,0,0,0,0,0,2,1,9,0,12,0,12
"AVENUE ""M""",0,0,5,2,0,0,0,0,2,1,0,4,1,6,0,7
"AVENUE ""N""",0,2,3,1,0,0,0,0,1,2,0,3,1,5,0,6
"AVENUE ""U""",0,4,17,7,0,0,1,5,3,6,2,11,6,22,0,28
"AVENUE ""X""",0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,2
BAY 50 STREET,0,2,1,3,0,0,0,1,2,2,0,1,1,5,0,6
BAY PARKWAY,0,2,7,8,0,0,0,4,0,5,2,6,2,15,0,17
BAY RIDGE AVENUE,0,0,1,3,1,0,1,1,0,1,1,1,1,4,0,5
BEDFORD AVENUE,1,17,25,4,0,0,0,1,9,13,1,23,12,34,1,47
BEDFORD-NOSTRAND AVENUES,0,15,17,2,0,0,0,1,9,9,0,15,8,26,0,34
BERGEN STREET,0,16,29,7,0,0,0,6,13,19,0,14,11,40,1,52
BEVERLEY ROAD,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
BEVERLY ROAD,0,4,11,1,0,0,0,1,10,4,0,1,0,16,0,16
BOROUGH HALL,0,5,4,2,0,0,0,0,4,2,2,3,2,9,0,11
BRIGHTON BEACH,0,8,20,13,0,0,0,2,5,13,3,18,13,28,0,41
BROADWAY,0,6,5,2,1,0,0,0,4,6,1,3,3,10,1,14
BROADWAY-EAST NEW YORK,2,10,29,7,0,0,0,1,26,13,1,7,3,44,1,48
BROADWAY-EASTERN PKWY,0,2,4,1,0,0,0,0,5,1,0,1,1,6,0,7
BUSHWICK AVE.-ABERDEEN ST.,1,54,80,11,1,0,0,3,47,45,2,50,29,117,1,147
CARROLL STREET,0,2,1,1,1,0,0,2,1,1,0,1,1,4,0,5
CENTRAL AVENUE,0,0,3,1,0,0,0,0,2,1,1,0,0,4,0,4
CHAUNCEY STREET,0,0,6,1,0,0,0,0,4,2,0,1,3,4,0,7
CHURCH AVENUE,5,58,78,44,5,0,1,29,61,61,8,30,31,159,0,190
CLARK STREET,1,7,10,2,0,0,0,3,6,6,0,5,7,13,0,20
CLASSON AVENUE,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
CLEVELAND STREET,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
CLINTON-WASHINGTON AVENUES,0,18,52,6,1,0,0,7,21,17,2,30,25,52,0,77
CORTELYOU ROAD,1,1,7,1,0,0,0,1,4,2,0,3,4,6,0,10
COURT STREET,0,0,3,0,0,0,0,1,0,0,0,2,0,3,0,3
CRESCENT STREET,0,2,10,1,0,0,0,0,3,7,0,3,0,13,0,13
CYPRESS HILLS,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
DEKALB AVENUE,0,42,56,18,1,0,0,12,33,38,3,31,42,74,1,117
DISTRICT 30 OFFICE,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
DISTRICT 33 OFFICE,1,4,0,2,0,0,1,0,3,2,0,1,1,6,0,7
EAST 105 STREET,0,24,24,3,0,0,0,0,39,8,0,4,13,38,0,51
EASTERN PKWY-BROOKLYN MUSEUM,0,3,6,1,0,0,0,0,6,2,0,2,3,7,0,10
EUCLID AVENUE,1,6,5,2,0,0,0,1,9,4,0,0,2,12,0,14
FLATBUSH AVE.-BROOKLYN COLLEGE,3,30,40,21,0,1,0,6,52,24,2,11,12,82,1,95
FLUSHING AVENUE,0,37,73,18,0,1,0,6,49,41,1,32,22,107,0,129
FORT HAMILTON PKWY,1,8,19,7,0,0,0,4,3,22,1,5,6,29,0,35
FRANKLIN AVENUE,2,45,88,26,1,0,0,9,76,39,0,38,42,120,0,162
FRESH POND ROAD,0,2,4,1,0,0,0,0,4,1,0,2,2,5,0,7
FULTON STREET,0,16,24,7,0,0,0,1,7,26,3,10,14,33,0,47
GATES AVENUE,0,8,9,2,0,0,0,1,4,8,1,5,5,14,0,19
GRAHAM AVENUE,0,15,18,6,0,0,0,0,11,14,3,11,7,32,0,39
GRAND ARMY PLAZA,0,1,6,2,0,0,0,0,7,1,0,1,2,7,0,9
GRAND STREET,0,4,9,1,0,0,0,0,3,5,1,5,2,12,0,14
GRANT AVENUE,0,1,3,0,0,0,0,0,3,0,0,1,2,2,0,4
GREENPOINT AVENUE,0,1,4,0,0,0,0,1,2,1,0,1,2,3,0,5
HALSEY STREET,2,99,153,38,3,0,0,16,56,130,3,90,75,219,1,295
HEWES STREET,0,4,5,1,0,0,0,0,0,6,0,4,3,7,0,10
HIGH STREET,1,1,9,0,0,0,0,1,4,1,0,5,1,10,0,11
HOYT STREET,1,20,10,6,0,0,0,0,25,9,0,3,5,32,0,37
HOYT-SCHERMERHORN,5,27,53,15,1,0,3,8,42,25,1,22,25,76,0,101
JAY STREET-BOROUGH HALL,5,101,84,23,6,1,1,38,72,65,15,29,52,168,0,220
JEFFERSON STREET,6,54,116,17,0,0,2,16,27,31,2,115,67,126,0,193
JUNIUS STREET,6,23,30,6,0,0,0,0,49,11,1,4,16,48,1,65
KINGS HIGHWAY,0,16,35,15,0,1,0,4,17,16,6,24,13,54,0,67
KINGSTON AVENUE,0,7,5,3,0,0,0,1,4,8,0,2,4,11,0,15
KINGSTON-THROOP AVENUES,1,5,24,1,0,0,0,2,11,10,1,7,11,20,0,31
KNICKERBOCKER AVENUE,0,1,2,0,0,0,0,0,0,3,0,0,0,3,0,3
KOSCIUSKO STREET,0,11,16,2,1,0,0,0,8,11,0,11,4,26,0,30
LAFAYETTE AVENUE,0,2,8,2,0,0,0,0,2,4,2,4,1,11,0,12
LIBERTY AVENUE,1,7,18,5,0,0,0,0,16,12,2,1,13,18,0,31
LIVONIA AVENUE,1,18,31,10,3,0,0,2,36,21,0,4,9,54,0,63
LORIMER STREET,3,43,102,9,1,0,0,20,20,40,2,76,49,109,0,158
MARCY AVENUE,0,68,99,12,1,0,2,9,41,35,2,91,45,135,0,180
METROPOLITAN AVENUE,0,15,34,2,0,0,0,7,7,16,5,16,14,37,0,51
MONTROSE AVENUE,0,16,22,8,0,0,0,4,14,9,1,18,11,35,0,46
MORGAN AVENUE,0,13,24,2,0,0,0,1,11,5,1,21,7,32,0,39
MYRTLE AVENUE,0,8,20,4,0,0,0,1,13,13,3,2,6,26,0,32
MYRTLE/WYCKOFF AVENUES,7,269,362,99,5,1,2,28,117,417,15,164,183,551,9,743
MYRTLE-WILLOUGHBY AVENUES,1,34,33,8,2,1,1,9,13,27,4,25,23,54,2,79
NASSAU AVENUE,0,12,21,9,1,0,0,1,4,25,1,12,14,29,0,43
NECK ROAD,0,0,3,0,0,0,0,0,0,0,0,3,1,2,0,3
NEPTUNE AVENUE,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,2
NEVINS STREET,1,10,25,15,2,0,0,3,25,18,3,4,4,49,0,53
NEW LOTS AVENUE,2,3,17,10,0,0,0,1,23,7,0,1,4,28,0,32
NEW UTRECHT AVENUE,0,1,1,2,0,0,0,1,0,3,0,0,0,3,1,4
NEWKIRK AVENUE,0,14,23,4,0,0,1,1,32,4,0,3,2,39,0,41
NORWOOD AVENUE,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,2
NOSTRAND AVENUE,3,63,131,30,2,0,0,17,117,50,2,43,47,182,0,229
OCEAN PKWY,0,1,4,0,0,0,0,0,0,2,0,3,1,4,0,5
PACIFIC STREET,0,7,18,5,0,0,0,1,4,16,3,6,9,21,0,30
PARKSIDE AVENUE,0,7,11,0,0,0,0,1,9,1,2,5,5,13,0,18
PENNSYLVANIA AVENUE,2,7,10,6,0,0,0,1,18,2,2,2,8,17,0,25
PRESIDENT STREET,0,1,2,0,0,0,0,0,1,1,0,1,0,3,0,3
PROSPECT AVENUE,0,8,6,3,0,0,0,1,2,6,0,8,5,12,0,17
PROSPECT PARK,0,35,38,8,0,1,0,6,44,15,2,15,23,59,0,82
RALPH AVENUE,0,11,34,3,0,0,0,1,28,4,1,14,9,39,0,48
ROCKAWAY AVENUE,2,31,55,17,0,0,0,3,51,31,1,19,23,80,2,105
ROCKAWAY PKWY-CANARSIE,1,7,11,6,0,0,0,0,17,5,0,3,7,18,0,25
SARATOGA AVENUE,2,21,20,9,1,0,1,2,33,15,0,2,11,41,1,53
SENECA AVENUE,0,4,5,2,0,0,0,0,0,9,0,2,5,6,0,11
SHEEPSHEAD BAY,1,24,34,7,0,0,0,3,11,16,1,35,12,54,0,66
SHEPHERD AVENUE,0,5,7,2,1,0,0,0,5,8,0,2,3,12,0,15
SMITH-9 STREETS,1,26,37,21,1,0,0,3,27,35,2,19,15,71,0,86
STERLING STREET,0,11,21,6,1,0,0,1,25,5,0,8,14,25,0,39
STILLWELL AVENUE-CONEY ISLAND,3,47,153,48,7,0,0,15,116,71,7,49,39,218,1,258
SUTTER AVENUE,1,21,35,9,2,0,0,2,38,20,2,6,16,52,0,68
SUTTER AVENUE-RUTLAND ROAD,2,15,31,9,1,0,0,3,44,8,1,2,14,44,0,58
UNION STREET,0,4,4,1,0,0,0,0,3,3,0,3,1,8,0,9
UTICA AVE.-CROWN HEIGHTS,4,66,98,31,2,1,0,12,124,31,7,28,39,162,1,202
UTICA AVENUE,1,37,56,13,1,0,1,6,60,15,3,23,23,85,0,108
VAN SICLEN AVENUE,1,26,28,9,0,0,1,1,36,18,2,6,14,50,0,64
WEST 8 STREET-NY AQUARIUM,0,0,4,1,0,0,0,1,3,1,0,0,2,3,0,5
WILSON AVENUE,2,24,46,3,0,1,1,4,9,33,2,27,17,59,0,76
WINTHROP STREET,1,9,17,4,1,0,1,2,18,7,0,4,7,25,0,32
WYCKOFF AVENUE,0,1,6,0,0,0,0,0,2,3,0,2,0,7,0,7
YORK STREET,0,1,2,1,0,0,0,0,2,1,0,1,0,4,0,4
1 AVENUE,1,16,29,5,0,0,0,4,13,10,8,16,16,34,1,51
103 STREET,0,6,13,6,0,1,0,2,9,11,1,3,7,18,1,26
110 ST.-CATHEDRAL PKWY.,0,37,50,15,2,1,0,15,19,41,3,27,26,79,0,105
110 ST.-CENTRAL PARK NORTH,0,13,35,14,1,0,0,5,25,21,2,10,13,49,1,63
110 STREET,0,2,3,3,0,0,0,0,5,2,0,1,2,6,0,8
116 ST.-COLUMBIA UNIVERSITY,2,61,26,9,0,1,1,23,23,25,4,23,29,70,0,99
116 STREET,0,40,84,28,3,0,1,6,75,57,2,14,23,131,1,155
125 STREET,7,160,255,109,5,4,0,27,276,161,12,64,141,397,2,540
135 STREET,1,41,72,36,1,0,1,5,83,32,5,25,35,116,0,151
137 ST.-CITY COLLEGE,0,44,63,16,1,0,0,9,23,62,7,23,36,87,1,124
14 ST.-UNION SQUARE,2,28,40,4,0,0,0,11,15,29,0,19,24,50,0,74
14 STREET,26,390,421,109,16,3,3,116,233,325,38,250,248,708,9,965
145 STREET,6,258,320,104,10,1,0,26,319,273,19,62,142,551,6,699
148 ST.-HARLEM,0,0,5,1,0,0,0,0,4,2,0,0,0,6,0,6
155 STREET,0,1,5,3,0,0,0,1,3,2,1,2,4,5,0,9
157 STREET,0,26,28,7,3,0,1,1,10,42,3,7,10,54,0,64
163 ST.-AMSTERDAM AVE.,0,24,38,19,3,0,1,5,17,46,7,8,25,59,0,84
168 ST.-WASHINGTON HTS.,4,60,77,19,1,0,0,6,52,89,2,12,42,119,0,161
175 STREET,2,33,65,22,3,1,0,8,18,75,2,23,37,89,0,126
18 STREET,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,2
181 STREET,0,7,20,7,1,0,0,0,10,23,0,2,6,29,0,35
190 STREET,0,4,2,1,0,0,0,1,2,3,0,1,1,6,0,7
191 STREET,1,32,58,20,0,0,0,6,20,69,3,13,22,88,1,111
2 AVENUE,2,10,14,0,2,0,0,3,6,7,0,12,8,20,0,28
200 ST.-DYCKMAN ST.,4,79,103,40,4,0,0,7,47,145,5,26,65,162,3,230
207 ST.-INWOOD,1,9,18,7,0,0,0,0,13,16,0,6,5,30,0,35
207 STREET,0,15,12,6,1,0,0,1,5,28,0,0,4,30,0,34
215 STREET,0,3,5,1,0,0,0,0,3,5,0,1,4,5,0,9
225 ST.-MARBLE HILL,0,2,0,2,0,0,0,0,1,2,0,1,0,4,0,4
23 STREET,1,69,98,38,4,1,0,18,60,85,12,36,52,159,0,211
238 STREET,0,2,1,1,0,0,0,0,0,3,0,1,0,4,0,4
242 ST.-VAN CORTLANDT PARK,0,21,24,18,0,0,0,1,18,39,1,4,10,52,1,63
28 STREET,3,115,174,71,6,1,1,27,90,156,21,75,96,272,2,370
3 AVENUE,0,5,4,3,0,0,0,5,1,6,0,0,3,9,0,12
33 STREET,0,48,71,18,7,0,0,15,34,68,6,21,27,117,0,144
34 ST.-HERALD SQ.,16,215,266,74,13,2,5,92,156,195,38,100,119,467,0,586
34 ST.-PENN STATION,14,393,574,193,38,1,9,69,403,437,57,238,301,909,3,1213
34 STREET,4,87,65,20,0,0,3,28,40,58,9,38,40,136,0,176
42 ST.-GRAND CENTRAL,25,478,580,180,27,8,2,115,312,493,44,332,348,937,13,1298
42 ST.-PORT AUTHORITY BUS TERMINAL,26,662,1029,306,35,16,6,202,370,1121,89,286,490,1576,8,2074
42 ST.-TIMES SQUARE,18,441,550,137,17,5,0,100,383,508,47,130,191,973,4,1168
42 STREET,1,50,82,27,3,2,2,22,37,72,9,23,51,113,1,165
47-50 STS./ROCKEFELLER CTR.,0,41,56,12,0,0,0,15,14,55,6,19,26,82,1,109
49 STREET,0,19,19,7,1,0,1,7,10,16,2,10,8,37,1,46
5 AVENUE,2,17,23,8,0,0,0,5,9,26,3,7,12,38,0,50
50 STREET,0,34,63,20,3,2,2,8,34,55,1,22,30,92,0,122
51 STREET,3,57,70,35,5,2,0,8,45,90,4,25,38,133,1,172
57 STREET,2,17,29,14,2,0,0,6,9,26,4,19,18,46,0,64
59 ST.-COLUMBUS CIRCLE,19,494,558,164,11,7,9,133,327,484,39,261,361,889,3,1253
59 STREET,4,56,85,23,2,0,0,15,40,68,5,42,32,137,1,170
6 AVENUE,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,2
66 ST.-LINCOLN CENTER,0,6,7,1,0,0,1,1,3,4,0,5,3,11,0,14
68 ST.-HUNTER COLLEGE,1,44,30,12,1,0,0,12,7,48,1,20,18,70,0,88
7 AVENUE,0,4,4,0,0,0,0,0,2,5,1,0,3,5,0,8
72 STREET,1,21,36,16,3,0,1,6,10,37,7,16,33,44,0,77
72ND STREET,2,5,9,2,1,0,0,6,2,6,0,5,8,11,0,19
77 STREET,4,48,74,20,1,2,0,13,38,59,4,35,41,108,0,149
79 STREET,1,5,4,4,2,0,0,0,4,10,0,2,4,12,0,16
8 AVENUE,0,6,0,2,0,0,0,1,1,2,2,2,4,4,0,8
8 ST.-NYU,0,14,7,2,0,0,0,6,1,5,3,8,8,15,0,23
81 ST.-MUSEUM OF NATURAL HISTORY,0,5,2,0,0,0,0,0,4,3,0,0,2,5,0,7
86 STREET,8,122,124,58,6,3,0,21,80,153,9,58,67,252,2,321
86TH STREET,0,4,9,7,0,0,0,0,0,9,0,11,2,18,0,20
96 STREET,4,56,84,51,3,1,0,15,48,89,4,43,55,144,0,199
96TH STREET,1,9,24,9,1,0,0,2,20,18,1,3,8,36,0,44
ASTOR PLACE,0,4,2,1,1,0,0,1,2,2,0,3,1,7,0,8
BLEECKER STREET,2,41,65,30,4,0,1,11,33,56,7,34,19,123,0,142
BOWERY,0,3,2,1,0,0,0,0,0,1,2,3,2,4,0,6
BOWLING GREEN,0,17,28,7,0,0,0,1,21,25,2,3,12,40,0,52
BROADWAY/LAFAYETTE,3,36,63,12,0,2,0,13,20,42,4,37,22,92,2,116
BROADWAY/NASSAU,6,155,243,65,4,0,4,38,173,174,26,58,82,387,4,473
BROOKLYN BRIDGE-CITY HALL,0,5,7,5,1,0,0,1,2,10,0,5,2,16,0,18
CANAL STREET,12,124,131,42,9,0,1,33,85,110,11,78,65,252,1,318
CHAMBERS ST.-WORLD TRADE CENTER,5,46,38,16,2,0,1,7,35,43,4,17,25,81,1,107
CHAMBERS STREET,1,16,26,14,0,0,1,1,15,25,1,14,13,44,0,57
CHRISTOPHER ST.-SHERIDAN SQ.,0,8,9,3,1,0,0,2,5,7,0,7,7,14,0,21
CITY HALL,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,2
CORTLANDT STREET,0,6,3,1,1,0,1,0,5,3,0,2,1,10,0,11
DELANCEY STREET,1,33,52,27,0,0,1,9,29,39,6,29,19,93,1,113
DISTRICT 1 OFFICE,0,3,3,1,0,0,0,0,1,4,0,2,3,4,0,7
DISTRICT 4 OFFICE,0,3,3,1,0,0,0,1,2,2,0,2,0,7,0,7
EAST BROADWAY,0,7,7,2,0,0,0,8,2,3,1,2,9,7,0,16
ESSEX STREET,0,5,5,0,0,0,0,1,2,0,2,5,2,8,0,10
FRANKLIN STREET,0,2,8,0,1,0,0,3,1,6,0,1,1,9,1,11
FULTON STREET,7,69,70,16,1,1,0,17,65,50,4,28,32,131,1,164
GRAND STREET,0,4,4,1,1,0,0,1,3,3,0,3,3,7,0,10
HOUSTON STREET,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,2
LEXINGTON AVE.,2,10,14,4,0,0,0,6,4,11,1,8,13,17,0,30
LEXINGTON AVENUE,1,13,23,12,0,0,0,7,6,21,0,15,7,42,0,49
OFF-SYSTEM,0,3,7,2,0,0,0,1,4,6,0,1,2,9,1,12
OFF-SYSTEM,0,3,7,2,0,0,0,1,4,6,0,1,2,9,1,12
PARK PLACE,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
PRINCE STREET,0,4,4,0,1,0,0,0,2,2,0,5,1,8,0,9
RECTOR STREET,0,0,4,0,0,0,0,0,0,2,0,2,1,3,0,4
SOUTH FERRY,0,9,18,5,2,0,0,2,10,14,1,7,5,29,0,34
SPRING STREET,1,18,22,3,1,1,0,9,5,15,4,13,14,30,2,46
UNION SQUARE,7,35,43,7,0,2,1,8,24,38,3,20,19,74,1,94
W. 4 STREET,1,181,190,35,11,0,6,45,107,114,20,126,97,321,0,418
WALL STREET,0,6,6,0,0,0,0,1,3,7,0,1,3,9,0,12
WHITEHALL ST.-SOUTH FERRY,0,2,3,0,0,0,0,0,0,1,0,4,2,3,0,5
102 STREET,0,3,0,0,0,0,0,0,0,3,0,0,1,2,0,3
103 ST.-CORONA PLAZA,3,37,59,16,0,0,0,3,1,111,0,0,17,98,0,115
111 STREET,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
111 st-Roosevelt Ave,0,19,17,7,2,0,0,2,2,39,1,1,10,35,0,45
121 STREET,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,2
169 STREET,1,31,73,43,2,0,0,41,33,66,8,2,37,113,0,150
179 ST.-JAMAICA,0,10,12,10,0,0,0,5,7,17,1,2,6,26,0,32
21 ST.-QUEENSBRIDGE,0,5,6,4,1,0,0,1,2,10,0,3,2,14,0,16
21 STREET,0,4,1,1,0,0,0,0,1,3,1,1,2,4,0,6
23 STREET-ELY AVENUE,0,4,11,4,0,0,0,3,4,7,0,5,4,15,0,19
30 AVENUE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
33 STREET,0,2,6,1,0,0,0,0,1,7,0,1,0,9,0,9
36 AVENUE,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
36 STREET,0,0,3,1,0,0,0,1,0,3,0,0,1,3,0,4
39 AVENUE,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
40 STREET,0,3,0,0,0,0,0,0,2,0,0,1,0,3,0,3
45 ROAD-COURT HOUSE SQUARE,0,3,13,5,0,0,0,2,4,12,0,3,3,18,0,21
46 STREET,3,42,74,43,1,0,0,17,10,112,11,13,35,128,0,163
52 STREET,1,3,11,4,0,0,0,2,4,10,2,1,6,13,0,19
61 ST.-WOODSIDE,0,4,7,2,0,0,0,1,2,8,0,2,1,12,0,13
